Author,year,Title,Type_study,Type_study_clean,Number_species,Number_species_clean,Taxon,Phenophases,climate_variable,effect_magnitud,Main results,Region,Observations,Opinion,More_information
Mo et al. (2017),2017,Phenological evidence from China to address rapid shifts in global flowering times with recent climate change,Observational (time series of at least 15 years),Observational,data set from 62 ground-based observations including 136 plant species from 217 observational sites across 8 climatic zones from 1963 to 2013 in China.,136,Plants,flowering phenophases,temperature,days/decade and sensitivity (days per C) ,"The results indicated that the beginning, peak and ending of flowering were generally advanced by 2.2, 2.3 and 1.4 days decade-1, respectively, as a result of temperature increase.2) Wind-pollinated and herb species showed greater phenological advancement and temperature sensitivity than insect-pollinated species and other growth forms did",China,"3) to determine the interspecific variations in flowering shifts in terms of pollination types and seasonality, as well as growth forms- 2) LO CRITERIOS QUE UTILIZAN PARA INCORPORAR LOS ESTUDIOS ESTA BUENOS Y SON MUY CLAROS.3) Algo llamativo es que tambien calculan como varian las temperaturas medias a lo largo de los años en cada sitio donde tienen estudios. Thus, our database included paired phenological and temperature trends for all the species at each site.",NA,NA
Lu et al. (2022),2022,Contrasting responses of early- and late-season plant phenophases to altered precipitation,Experimental,Experimental,63 manipulative experiments. 218 especies. Evaluan 10 fenofases ,218,Plants,early and late-season phenophases ,precipitation ,Hedges' g,"Advanced early-season phenophases and delayed late-season phenophases led to extensions of the reproductive phase and growing season with precipitation increases. 2) In general, most plant phenophases exhibited stronger responses to altered precipitation at drier sites than at wetter sites. 3) In addition, we found that in comparison to the herba ceous plant phenophases, the woody plant phenophases were more responsive to increased precipitation. The stronger responses of woody plants may be attributed to their relatively high evapotranspiration rates and water demand",north hemisphere,"Tambien incorporan en el analisis plant characteristics (plant functional group, longevity and pollination type). We separated plant species into different functional groups (woody versus her baceous plants), longevity (annual/biennial versus perennial plants) and pollination type (wind versus insect-pollinated plants).",NA,NA
Lu et al. (2023),2023,Diminishing warming effects on plant phenology over time,Experimental,Experimental,"a meta-analysis of 103 experimental warming studies around the globe – to investigate the responses of four phenophases leaf-out, first flowering, last flowering and leaf coloring. 8023 phenology observations in warming experiments and paired control plots",8023,Plants,"leafout, first flowering, least flowering and leaf coloring ",precipitation ,days/decade,"We also found that the experimental effects of warming on plant phenology diminished over time across all phe nophases. 2) However, the advancement of leaf-out was nonsignificant for evergreen woody plants (95%  = CI 4.6 to 0.4 d, P 0.103), but strongly significant for deciduous woody plants (95% CI 6.3 to 2.8 d, P < 0.001). 3) The shifts in plant phenology per degree warming (sensitivity) also weakened in long-term experiments. 4) In addition, the responses of leaf-out for herbaceous species in boreal forest and temperate grassland were greater than those located in tundra, and the responses of first flowering for woody species in tempe rate forest were greater than those in other ecosystem types",north hemisphere,"As we observed a gradual decrease in the variance of phenological changes with the extension of experiment duration, this implies that as time passes and plasticity becomes inadequate, plants may undergo evolu tionary responses to better adapt to changing conditions (Wu et al., 2012; Mathiasen & Premoli, 2016). Our analysis results
further support this idea by demonstrating that the responses of herbaceous plants to warming are constrained by precipitation, whereas those of woody plants are not. The shallow root systems of herbaceous plants, in contrast to the deeper systems of woody plants, likely make them more susceptible to water stress","It is worth noting that the majority of warming experiments have been concentrated in North America, Europe, and China, with only a limited number of experiments conducted in the Southern Hemisphere.In addition, our dataset lacks sufficient decadal
warming experiments at low latitudes and does not include phe
nological
data for tropical ecosystems.",NA
Chambers et al. (2013),2013,Phenological Changes in the Southern Hemisphere,Observational (time series of at least 10 years),Observational,"conduct the largest meta-analysis to date of phenological drivers and trends among southern hemisphere species, assessing 1208 long-term datasets from 89 studies on 347 species. PLANTAS Y AVES.",347,Plants and animals,"breeding, migration, flowering, etc",temperature,days/decade,"This meta-analysis shows an advance in the timing of spring events (with a strong Australian data bias), although substantial differences in trends were apparent among taxonomic groups and regions. 2) Temperature was most frequently identified as the primary driver of phenological changes; however, in many studies it was the only climate variable considered. When precipitation was examined, it often played a key role but, in contrast with temperature, the direction of phenological shifts in response to precipitation variation was difficult to predict a priori. 3) Across taxa, terrestrial plants (most of which were from temperate regions; 63% from Australian grape vines) demonstrated the strongest signal with 45% of time series reporting a statistically significant advance in phenology, compared with just 2% demonstrating a significant delay 4) Few statistically significant trends over time were observed for arthropods, and they were almost equally likely to be earlier as later, although the number of observations is low and restricted to one taxonomic group: butterflies. The magnitude of
significant trends for butterflies was lower than for plants.",Australia and South America,"study location, years of the study, species name, phenophases (e.g. breeding, migration, flowering) recorded, phenological trend (in days/decade), assessed or inferred climatic or non-climatic drivers of phenological variability or change (where available) and statistical significance (where available. TIENE 170 ESPECIES DE PLANTAS DE SOUTH AMERICA (ESTO SE PUEDE UTILIZAR). Y TAMB TIENEINFO DE MARIPOSAS.","El estudio esta super sesgado a Asutralia grape vines. Although 480 plant datasets were recorded, phenological trends were predominantly from Australia/New Zealand, only four from Africa and none from the other regions, and 60% of these of studies were on commercial viticulture crops. LA DISCUSION ESTA BUENISIMA",NA
Stuble et al (2020),2020,Plant phenological responses to experimental warming—A synthesis,Experimental,Experimental,70 studies comprised 1226 observations of plant phenology under experimental warming,1126,Plants,early and late-season phenophases ,temperature and precipitation ,Hedges' g,"We find that plants are advancing their early-season phenophases (bud break, leaf-out, and flowering) in response to warming. We find consistency in the magnitude of phenological shifts across latitude, elevation, and habitat types, whereas the effect of warming on nonnative annual plants is two times larger than the effect of warming on native perennial plants. There were no studies conducted in tropical ecosystems.",north hemisphere,"studies outside of temperate ecosys tems in the Northern Hemisphere, or those that focused on late-season phenophases, annual plants, nonnative plants, or woody plants and grasses, were underrepresented in our data set. For each observation, we collected information on the study location, elevation, biome, habitat type, experimental design, plant species, and phenological phase measured to account for variation across the data set as well as to address specific questions about the effect of experimental warming on plant phenology",,"We also used study coordinates to extract MATs and mean annual precipita km2) tion (MAP; for 1970–2000) at the 0.5-min resolution (~1 from the WorldClim Database (Fick & Hijmans, 2017)."
Liu et al. (2020),2020,Climate warming extends growing season but not reproductive phase of terrestrial plants,Experimental,Experimental,"we conducted a global meta-analysis, compiling 772 pairs of observational data from 42 warming manipulative experiments to investigate the temperature sensitivity (expressed as days per degree Celsius) of the durations of different phenophases across major natural terrestrial ecosystems",772,Plants,early and late-season phenophases ,temperature and precipitation ,sensitivity (days per C),"We found that the durations of flower bud, flowering and fruiting and the total reproductive phase did not exhibit any significant change in response to experi mental warming across all terrestrial plants, although large variations in temperature sensitivity of the reproductive phenology existed.These results suggest that, under future warmer climates, terrestrial
plants will allocate more time to growth than to reproduction; however, the warming-induced
extension of the vegetative phase might slow down over time",north hemisphere,NA,NA,NA
Freimutg et al. (2021),2021,Climate warming changes synchrony of plants and pollinators,Occurrence records GBIF ,Open datasets,"1764 species, with 11.4 million records of 1438 plant species, around 590 000 records of 207 species of butterflies and moths, some 76 000 records of 20 bee species and 30 000 records of 22 fly species
and almost 25 000 records of 77 species of beetles",1764,Plants and pollinators,ocurrence records of plants (flowering) and insects (flight activity) in the GBIF ,temperature,days/decade and sensitivity (days per C) ,"We found strong phenological advances in plants but differences in the extent of shifts among pollinator groups.groups. Overall, plant–pollinator interactions become more synchronized, mainly because the phenology of plants, which historically
lagged behind that of the pollinators, responded more strongly to climate change.",Germany,NA,NA,NA
Memmont et al. (2007),2007,Global warming and the disruption of plant–pollinator interactions,Date set of interactions,Open datasets,Date set of interactions between 1420 pollinator and 429 plant species,1849,Plants and pollinators,flowering and flight activity,temperature,NA,"Depending on model assumptions, phenological shifts reduced the floral resources available to 17–50% of all pollinator species, causing as much as half of the ancestral activity period of the animals to fall at times when no food plants were available","Illinois, USA","No es un meta-analisis, usan modelos y simulaciones sobre una comunicad de plantas y polinizadores para estimar su respuesta al cambio climatico",NA,NA
Menzel et al. (2006),2006,European phenological response to climate change matches the warming pattern,Phenological network data set ,Open datasets,561,561,Plants and animals,"flowering, leafing, leaf colouring/fall and fruiting ",temperature,sensitivity (days per C),"Our results showed that 78% of all leafing, flowering and fruiting records advanced (30% significantly) and only 3% were significantly delaye",Europe,,,
Renner et al. (2020),2020,Climate data and flowering times for 450 species from 1844 deepen the record of phenological change in southern Germany,Observational (time series),Observational,3,3,Plants,flowering,temperature,days/decade,Mean advances in flowering dates were 1.3–2.1 days/decade or 3.2–4.2 days/1°C warming. These advances are in keeping with similar advances in other European herbs during more recent periods.,Germany,No es meta-analisis ,NA,NA
Snyman & Fitchett (2022),2022,Phenological advance in the South African Namaqualand Daisy First and Peak Bloom: 1935–2018,"newspaper archives from The Rand Daily Mail, Volksblad and Die Burger and social media records from Flickr and iNaturalist",Open datasets,NA,NA,Plants,"first flowering date, peak flowering, end flowering",temperature and precipitation ,sensitivity (days per C),"First flowering and full bloom phenology of the Namaqualand daisies are advancing at statistically significant rates of 2.6 days  decade- 1 and 2.1 days  decade- 1. Increasing temperatures are driving the calculated advances of the daisy flowering dates at statistically significan rates of change ranging from 0.01 to 0.11 days ° C-1. The main climate drivers of Namaqualand daisy flowering phenology are winter and spring temperatures, the onset of the winter rainy season during April and May, and total winter precipitation",Africa,"No species, only individuals records of flowering dates",,
Solga et al. (2024),2024,Timing is Everything: An Overview of Phenological Changes to Plants and Their Pollinators,Previous studies,Open datasets,738,738,Plants,NA,temperature,days,"Find that there is evidence of change, but that it is extremely species-specifi with some species advancing their activities, some delaying, and some staying about the same.",USA and China,"we reviewed six studies that quantify the change in first flowerin
date for multiple plants in a given location (Bradley et al. 1999; Abu-Asab et al. 2001; Fitter and Fitter 2002; Cook et al. 2008; Bai et al. 2011; Dunnell and Travers 2011; Table 1).we identified three studies on butterflies (Roy and Sparks 2000; Forister and Shapiro 2003;
Stefanescu et al. 2003) and one on wild bees (Bartomeus et al. 2011) (Table 1).",It si not a meta analysis but some of the data can be use ,NA
Sounan et al. (2019),2019,Plant phenological sensitivity to climate change on the Tibetan Plateau and relative to other areas of the world,It is an experimental study ,Experimental,11,11,Plants,leaf out and first flowering day,"Temperature, precipitation, soil moisture ",sensitivity (days per C),"There was no interaction between warming and changes in precipitation on community plant phenology, but warming advanced leaf-out and first flowering day by 7.10 and 9.79 d, respectively. the phenological sensitivity of leaf-out day and first flowering day on the Tibetan Plateau is 7.3 and 37.8 times greater than global phenological
sensitivity, respectively.",China,They combined their experimental data with a global plant phenology data set,,
